customer_id,timestamp,activity_type,data_volume_mb,duration_seconds,age,gender,location,signup_date,contract_type,service_plan,monthly_charges,total_charges,payment_method,churn,page_visited,visit_timestamp,time_on_page_seconds,browser,bill_date,amount_due,payment_status,data_usage_gb,call_minutes,sms_count,promo_applied
C0711,2025-06-02 20:39:34.593627+00:00,Call,40.0,0.0,28,Male,Chicago,2023-02-03 00:00:00+00:00,Annual,Standard,23.71,4434.03,Bank Transfer,1,,,,,2025-01-24 00:00:00+00:00,149.06,Overdue,46.92,57.0,8.0,False
C0997,2025-06-03 01:40:34.596952+00:00,App_Login,40.0,0.0,64,Female,Houston,2023-06-02 00:00:00+00:00,Two Year,Standard,148.94,3349.74,E-Wallet,0,Homepage,2025-06-03 16:09:25.053514+00:00,185.0,Edge,2025-03-04 00:00:00+00:00,91.55,Overdue,8.22,89.0,123.0,False
C0770,2025-06-03 16:25:34.597003+00:00,Data_Usage,0.0,0.0,35,Female,Miami,2023-04-09 00:00:00+00:00,Monthly,Standard,124.52,824.7,E-Wallet,0,,,,,2025-05-23 00:00:00+00:00,10.33,Overdue,19.24,189.0,67.0,True
C0351,2025-06-02 22:01:34.597396+00:00,Call,0.0,0.0,18,Female,Chicago,2023-01-22 00:00:00+00:00,Monthly,Basic,38.59,2310.26,Mail,0,,,,,2025-05-15 00:00:00+00:00,127.37,Due,7.75,169.0,16.0,False
C0512,2025-06-03 08:09:34.597700+00:00,Data_Usage,59.0,0.0,69,Other,New York,2024-01-31 00:00:00+00:00,Monthly,Basic,122.97,4781.7,Mail,0,,,,,2025-02-20 00:00:00+00:00,98.94,Overdue,98.32,298.0,10.0,False
C0612,2025-06-02 19:00:34.598829+00:00,Video_Stream,100.0,0.0,32,Other,Houston,2024-09-28 00:00:00+00:00,Annual,Premium,59.34,3649.73,Credit Card,1,,,,,2024-07-12 00:00:00+00:00,157.9,Due,81.44,131.0,111.0,False
C0998,2025-06-03 03:50:34.599120+00:00,Video_Stream,0.0,0.0,51,Male,Miami,2023-06-25 00:00:00+00:00,Monthly,Premium,96.23,500.94,E-Wallet,0,,,,,2024-12-01 00:00:00+00:00,170.55,Overdue,14.93,44.0,129.0,False
C0562,2025-06-02 23:45:34.599277+00:00,Video_Stream,61.0,309.0,40,Other,New York,2024-07-16 00:00:00+00:00,Annual,Basic,51.1,3774.92,Mail,1,,,,,2024-06-28 00:00:00+00:00,174.29,Overdue,15.33,347.0,182.0,True
C0222,2025-06-03 07:00:34.599813+00:00,Video_Stream,61.0,0.0,52,Other,Los Angeles,2024-11-23 00:00:00+00:00,Monthly,Standard,94.61,1265.7,Mail,1,,,,,2024-10-09 00:00:00+00:00,54.11,Paid,25.86,408.0,6.0,False
C0307,2025-06-03 08:10:34.600211+00:00,Video_Stream,0.0,0.0,34,Female,Houston,2023-08-03 00:00:00+00:00,Annual,Basic,127.53,2041.65,Bank Transfer,0,,,,,2024-08-22 00:00:00+00:00,77.86,Paid,97.81,422.0,76.0,True
C0550,2025-06-02 22:30:34.600312+00:00,Call,99.0,448.0,39,Female,Miami,2023-03-02 00:00:00+00:00,Monthly,Basic,40.43,1132.48,E-Wallet,0,,,,,2024-12-25 00:00:00+00:00,28.18,Overdue,56.39,45.0,52.0,False
C0269,2025-06-03 14:41:34.600934+00:00,Data_Usage,57.0,274.0,43,Other,Los Angeles,2023-12-17 00:00:00+00:00,Annual,Basic,89.86,2291.47,Bank Transfer,1,,,,,2025-03-09 00:00:00+00:00,133.52,Paid,5.47,426.0,82.0,False
C0583,2025-06-03 11:33:34.600982+00:00,App_Login,10.0,330.0,19,Female,Los Angeles,2022-09-22 00:00:00+00:00,Two Year,Premium,109.49,3955.29,Bank Transfer,1,,,,,2025-05-16 00:00:00+00:00,150.18,Paid,27.64,56.0,124.0,False
C0440,2025-06-03 01:21:34.600988+00:00,Data_Usage,70.0,0.0,19,Female,Houston,2023-04-03 00:00:00+00:00,Monthly,Standard,123.34,3520.75,Credit Card,1,,,,,2025-02-17 00:00:00+00:00,119.96,Due,50.79,491.0,173.0,True
C0239,2025-06-02 22:38:34.601025+00:00,Video_Stream,48.0,0.0,42,Male,New York,2022-11-14 00:00:00+00:00,Two Year,Standard,31.48,2499.7,E-Wallet,0,,,,,2024-10-06 00:00:00+00:00,84.32,Due,93.66,154.0,159.0,False
C0256,2025-06-03 12:38:34.601108+00:00,Sms_Sent,34.0,0.0,58,Male,Miami,2024-12-30 00:00:00+00:00,Monthly,Standard,104.21,4987.73,Mail,0,,,,,2024-08-05 00:00:00+00:00,54.08,Overdue,25.91,59.0,126.0,True
C0257,2025-06-03 02:59:34.601120+00:00,App_Login,31.0,0.0,18,Male,Chicago,2024-10-14 00:00:00+00:00,Monthly,Basic,57.83,459.68,E-Wallet,0,,,,,2024-07-17 00:00:00+00:00,75.97,Due,16.22,343.0,25.0,True
C0947,2025-06-02 21:04:34.601170+00:00,Call,0.0,0.0,64,Female,Houston,2024-11-29 00:00:00+00:00,Annual,Premium,42.76,2135.1,Bank Transfer,0,,,,,2025-03-05 00:00:00+00:00,73.22,Overdue,15.96,371.0,167.0,True
C0536,2025-06-03 05:06:34.601195+00:00,Sms_Sent,0.0,406.0,59,Other,Miami,2023-06-06 00:00:00+00:00,Monthly,Premium,110.11,4209.53,Credit Card,0,,,,,2025-05-25 00:00:00+00:00,149.59,Due,94.58,188.0,93.0,False
C0172,2025-06-03 10:08:34.601299+00:00,Video_Stream,98.0,435.0,61,Male,New York,2024-10-01 00:00:00+00:00,Annual,Standard,88.54,3598.16,Credit Card,1,,,,,2024-10-09 00:00:00+00:00,13.39,Paid,63.97,63.0,184.0,True
C0623,2025-06-03 02:19:34.601310+00:00,Video_Stream,12.0,0.0,58,Female,Chicago,2024-09-07 00:00:00+00:00,Monthly,Premium,42.25,2712.65,Mail,1,,,,,2025-05-27 00:00:00+00:00,17.3,Paid,20.45,312.0,142.0,False
C0696,2025-06-03 13:55:34.601388+00:00,Data_Usage,20.0,0.0,60,Female,New York,2024-07-24 00:00:00+00:00,Monthly,Basic,146.63,60.45,Credit Card,1,,,,,2024-09-08 00:00:00+00:00,31.84,Paid,90.39,60.0,34.0,False
C0255,2025-06-03 07:00:34.601416+00:00,Sms_Sent,0.0,0.0,30,Other,Chicago,2025-02-11 00:00:00+00:00,Monthly,Basic,52.49,3977.72,Bank Transfer,1,,,,,2025-05-21 00:00:00+00:00,195.5,Overdue,87.51,21.0,99.0,True
C0835,2025-06-03 04:12:34.601431+00:00,Call,48.0,0.0,24,Other,Miami,2022-10-17 00:00:00+00:00,Monthly,Standard,82.11,2284.76,E-Wallet,0,,,,,2025-05-30 00:00:00+00:00,197.93,Paid,21.7,46.0,70.0,False
C0127,2025-06-03 01:32:34.601490+00:00,Video_Stream,91.0,128.0,70,Male,Chicago,2023-06-15 00:00:00+00:00,Annual,Premium,47.24,3442.99,E-Wallet,0,,,,,2025-01-24 00:00:00+00:00,110.2,Overdue,97.42,8.0,163.0,True
C0207,2025-06-03 00:32:34.601527+00:00,Data_Usage,58.0,0.0,19,Female,Chicago,2023-03-15 00:00:00+00:00,Two Year,Premium,137.4,2711.48,Bank Transfer,0,,,,,2025-01-03 00:00:00+00:00,73.78,Due,18.17,158.0,32.0,True
C0647,2025-06-03 03:16:34.601778+00:00,Call,7.0,0.0,27,Female,New York,2023-03-03 00:00:00+00:00,Annual,Basic,59.92,1794.94,Mail,1,,,,,2024-09-10 00:00:00+00:00,184.21,Due,5.87,19.0,129.0,True
C0342,2025-06-02 18:22:34.601851+00:00,Video_Stream,60.0,0.0,53,Female,Houston,2024-01-06 00:00:00+00:00,Two Year,Basic,53.97,3998.29,Credit Card,1,,,,,2024-12-01 00:00:00+00:00,114.05,Due,9.53,380.0,4.0,True
C0872,2025-06-03 13:06:34.601967+00:00,Video_Stream,0.0,0.0,66,Male,Chicago,2024-10-18 00:00:00+00:00,Monthly,Standard,128.11,1128.03,Credit Card,1,,,,,2025-04-15 00:00:00+00:00,10.31,Due,34.33,311.0,174.0,True
C0475,2025-06-02 19:02:34.602081+00:00,Video_Stream,0.0,374.0,35,Female,Miami,2023-02-02 00:00:00+00:00,Two Year,Premium,143.05,4504.75,Bank Transfer,0,,,,,2024-11-19 00:00:00+00:00,99.04,Due,79.37,303.0,176.0,True
C0313,2025-06-02 16:56:34.602107+00:00,Data_Usage,94.0,404.0,43,Male,Houston,2023-03-01 00:00:00+00:00,Two Year,Standard,59.25,567.53,Mail,0,,,,,2024-08-22 00:00:00+00:00,53.18,Due,61.59,149.0,82.0,False
C0368,2025-06-02 19:14:34.602140+00:00,App_Login,0.0,0.0,63,Female,New York,2023-06-19 00:00:00+00:00,Annual,Standard,127.97,4577.25,Bank Transfer,1,,,,,2024-07-07 00:00:00+00:00,79.42,Due,91.71,476.0,167.0,False
C0526,2025-06-03 08:53:34.602214+00:00,Sms_Sent,38.0,474.0,35,Male,Chicago,2024-05-02 00:00:00+00:00,Two Year,Basic,139.68,2923.24,Bank Transfer,0,,,,,2025-02-19 00:00:00+00:00,162.75,Paid,97.03,404.0,52.0,True
C0403,2025-06-03 01:33:34.602347+00:00,Sms_Sent,33.0,0.0,23,Other,Los Angeles,2023-04-17 00:00:00+00:00,Monthly,Basic,97.5,4387.33,Credit Card,0,,,,,2025-02-03 00:00:00+00:00,73.3,Due,90.33,128.0,59.0,False
C0387,2025-06-02 23:49:34.602405+00:00,App_Login,24.0,389.0,22,Other,Los Angeles,2023-05-09 00:00:00+00:00,Monthly,Basic,88.7,2886.68,Mail,0,,,,,,,,,,,
C0260,2025-06-03 13:25:34.602488+00:00,App_Login,17.0,281.0,59,Female,Los Angeles,2025-04-29 00:00:00+00:00,Two Year,Premium,94.74,4491.63,Bank Transfer,1,,,,,2025-04-11 00:00:00+00:00,30.79,Due,53.41,135.0,49.0,False
C0429,2025-06-03 09:15:34.602593+00:00,Video_Stream,17.0,54.0,32,Female,Houston,2023-12-04 00:00:00+00:00,Two Year,Basic,108.52,1455.1,Mail,0,,,,,2024-12-19 00:00:00+00:00,131.18,Overdue,62.23,262.0,152.0,False
C0424,2025-06-03 14:58:34.602644+00:00,Sms_Sent,14.0,0.0,54,Other,New York,2024-02-21 00:00:00+00:00,Annual,Basic,35.28,3236.23,Bank Transfer,0,,,,,2024-12-22 00:00:00+00:00,15.29,Overdue,11.17,0.0,70.0,True
C0054,2025-06-03 08:54:34.602704+00:00,App_Login,88.0,0.0,43,Female,New York,2023-09-07 00:00:00+00:00,Two Year,Standard,29.44,755.74,Bank Transfer,1,,,,,2025-03-17 00:00:00+00:00,135.4,Paid,19.1,349.0,161.0,True
C0177,2025-06-02 17:38:34.602715+00:00,Sms_Sent,0.0,0.0,57,Male,Houston,2025-01-21 00:00:00+00:00,Monthly,Standard,33.77,608.68,Mail,0,,,,,2024-08-08 00:00:00+00:00,144.95,Due,89.86,14.0,119.0,False
C0716,2025-06-03 07:14:34.602756+00:00,Call,32.0,569.0,52,Other,Miami,2024-07-21 00:00:00+00:00,Monthly,Standard,45.01,121.76,Credit Card,1,,,,,2024-10-09 00:00:00+00:00,121.9,Paid,9.19,293.0,164.0,False
C0849,2025-06-03 05:50:34.602759+00:00,Video_Stream,72.0,0.0,32,Female,Miami,2023-12-10 00:00:00+00:00,Annual,Premium,129.89,755.22,Mail,0,,,,,2025-02-09 00:00:00+00:00,144.21,Overdue,94.07,133.0,33.0,True
C0607,2025-06-03 05:34:34.602847+00:00,Data_Usage,77.0,0.0,35,Male,Chicago,2025-04-28 00:00:00+00:00,Monthly,Basic,131.44,4685.96,Mail,1,,,,,2025-04-08 00:00:00+00:00,46.29,Paid,99.87,431.0,116.0,False
C0519,2025-06-02 21:19:34.602856+00:00,App_Login,0.0,0.0,28,Female,New York,2024-08-15 00:00:00+00:00,Annual,Premium,94.08,508.93,E-Wallet,0,,,,,2025-01-07 00:00:00+00:00,28.41,Overdue,9.56,381.0,143.0,False
C0422,2025-06-02 18:24:34.602922+00:00,App_Login,87.0,180.0,30,Male,Houston,2024-11-29 00:00:00+00:00,Monthly,Premium,128.18,85.69,E-Wallet,0,,,,,2024-12-26 00:00:00+00:00,116.5,Paid,89.37,175.0,62.0,False
C0218,2025-06-02 21:11:34.602973+00:00,Data_Usage,46.0,0.0,54,Other,New York,2024-02-23 00:00:00+00:00,Monthly,Standard,142.62,2452.61,Mail,1,,,,,2025-04-25 00:00:00+00:00,12.28,Due,82.42,298.0,18.0,True
C0522,2025-06-02 22:20:34.603054+00:00,Call,13.0,55.0,54,Female,Chicago,2024-03-04 00:00:00+00:00,Two Year,Standard,29.85,4203.63,Credit Card,1,,,,,2024-09-21 00:00:00+00:00,167.84,Overdue,76.43,93.0,68.0,True
C0758,2025-06-02 23:23:34.603074+00:00,Call,18.0,0.0,59,Male,Los Angeles,2023-07-07 00:00:00+00:00,Two Year,Basic,29.01,444.85,E-Wallet,0,,,,,2025-05-11 00:00:00+00:00,112.1,Paid,25.01,288.0,147.0,False
C0041,2025-06-02 23:50:34.603105+00:00,Video_Stream,31.0,522.0,26,Female,Los Angeles,2023-01-14 00:00:00+00:00,Two Year,Basic,53.77,3199.79,E-Wallet,1,,,,,2024-06-11 00:00:00+00:00,151.99,Overdue,84.13,488.0,91.0,True
C0571,2025-06-03 04:47:34.603114+00:00,App_Login,19.0,0.0,37,Female,Miami,2024-04-25 00:00:00+00:00,Two Year,Standard,147.65,1900.59,Mail,0,,,,,2024-07-18 00:00:00+00:00,30.03,Paid,97.67,33.0,89.0,False
C0073,2025-06-03 00:23:34.603152+00:00,Call,0.0,0.0,48,Other,Chicago,2024-06-29 00:00:00+00:00,Annual,Standard,29.72,1757.46,Mail,1,,,,,2024-06-10 00:00:00+00:00,147.15,Paid,31.57,254.0,148.0,True
C0948,2025-06-02 19:23:34.603209+00:00,Video_Stream,100.0,0.0,43,Female,Los Angeles,2023-12-21 00:00:00+00:00,Monthly,Standard,65.87,3245.23,Bank Transfer,1,,,,,2024-06-07 00:00:00+00:00,199.68,Due,78.68,188.0,164.0,True
C0323,2025-06-03 08:50:34.603234+00:00,Video_Stream,0.0,0.0,30,Other,Chicago,2023-04-05 00:00:00+00:00,Monthly,Standard,101.87,2252.38,Credit Card,1,,,,,2025-05-29 00:00:00+00:00,107.81,Overdue,79.76,105.0,144.0,True
C0900,2025-06-03 08:41:34.603255+00:00,Sms_Sent,75.0,0.0,58,Male,Chicago,2023-01-26 00:00:00+00:00,Annual,Basic,81.21,489.77,E-Wallet,1,,,,,2024-07-01 00:00:00+00:00,155.76,Overdue,6.86,459.0,200.0,False
C0791,2025-06-03 02:45:34.603301+00:00,Video_Stream,0.0,0.0,24,Male,Houston,2023-12-30 00:00:00+00:00,Monthly,Basic,104.89,84.32,E-Wallet,1,,,,,2025-05-07 00:00:00+00:00,129.53,Paid,72.86,1.0,193.0,True
C0485,2025-06-03 01:48:34.603332+00:00,Video_Stream,12.0,0.0,26,Other,Miami,2023-05-21 00:00:00+00:00,Two Year,Basic,85.32,3977.9,Mail,1,,,,,2024-10-08 00:00:00+00:00,98.44,Paid,96.91,473.0,23.0,True
C0666,2025-06-03 00:32:34.603335+00:00,App_Login,76.0,0.0,25,Other,Chicago,2023-11-18 00:00:00+00:00,Monthly,Standard,124.53,1340.14,Credit Card,1,,,,,2025-02-07 00:00:00+00:00,22.16,Due,53.95,165.0,143.0,True
C0963,2025-06-02 20:07:34.603393+00:00,Video_Stream,34.0,0.0,33,Male,Miami,2023-09-30 00:00:00+00:00,Monthly,Standard,87.68,4909.93,Bank Transfer,1,Faq,2025-06-03 15:47:25.053544+00:00,21.0,Edge,2024-10-18 00:00:00+00:00,102.12,Overdue,73.44,391.0,100.0,False
C0363,2025-06-03 11:27:34.603477+00:00,Data_Usage,9.0,0.0,21,Male,Chicago,2023-01-24 00:00:00+00:00,Two Year,Standard,52.0,2368.53,Credit Card,1,,,,,2024-10-20 00:00:00+00:00,24.81,Paid,38.04,311.0,156.0,True
C0031,2025-06-03 07:40:34.603525+00:00,App_Login,0.0,499.0,44,Female,Houston,2022-12-11 00:00:00+00:00,Two Year,Premium,125.38,1610.83,Mail,1,,,,,2024-06-13 00:00:00+00:00,20.39,Paid,42.08,373.0,145.0,False
C0616,2025-06-02 20:12:34.603550+00:00,Sms_Sent,48.0,0.0,61,Male,Miami,2023-04-21 00:00:00+00:00,Monthly,Basic,148.05,770.06,Credit Card,1,,,,,2025-03-13 00:00:00+00:00,189.51,Due,5.42,413.0,12.0,True
C0091,2025-06-03 06:46:34.603662+00:00,Video_Stream,10.0,0.0,24,Female,New York,2022-12-17 00:00:00+00:00,Two Year,Premium,80.24,2383.75,E-Wallet,1,,,,,2024-09-25 00:00:00+00:00,133.47,Paid,50.94,391.0,138.0,True
