customer_id,bill_date,amount_due,payment_status,data_usage_gb,call_minutes,sms_count,promo_applied
C0361,2024-07-30,60.36,Due,8.81,192,118,False
C0316,2025-02-05,171.51,Due,97.49,379,2,True
C0831,2025-02-06,92.51,Overdue,60.5,123,109,True
C0859,2024-06-19,130.9,Due,3.35,212,18,True
C0388,2025-01-30,195.92,Due,37.37,200,85,True
C0347,2024-07-06,56.05,Paid,57.91,342,128,True
C0588,2024-10-09,113.17,Overdue,26.75,90,195,True
C0447,2024-07-11,197.9,Overdue,80.81,67,26,True
C0176,2024-06-14,116.52,Due,26.39,142,167,True
C0580,2024-10-14,194.82,Due,76.94,94,21,False
C0320,2024-06-15,109.46,Due,63.75,115,24,False
C0741,2024-07-25,116.7,Due,86.39,482,95,False
C0370,2024-12-14,32.26,Paid,47.62,23,56,False
C0277,2024-07-04,143.27,Paid,61.71,96,64,False
C0303,2024-07-21,163.01,Overdue,23.49,342,28,True
C0977,2024-08-29,98.43,Overdue,87.37,232,65,True
C0571,2024-07-18,142.81,Due,44.36,321,98,False
C0214,2025-02-20,15.62,Overdue,91.19,0,145,True
C0345,2024-11-17,16.88,Due,14.55,73,82,True
C0800,2024-06-27,182.31,Overdue,68.17,494,130,True
C0120,2025-03-03,57.19,Overdue,97.19,196,87,True
C0754,2025-04-16,75.74,Overdue,41.73,453,179,True
C0244,2024-07-01,105.21,Paid,76.43,166,51,False
C0558,2024-08-16,14.36,Overdue,98.76,350,12,True
C0612,2025-05-04,56.35,Due,81.78,415,106,True
C0775,2024-06-09,45.19,Due,76.13,230,92,False
C0097,2024-12-17,179.0,Due,94.29,212,29,False
C0284,2024-09-18,18.92,Overdue,83.92,460,30,True
C0063,2025-01-17,152.16,Due,59.58,299,180,False
C0185,2025-03-06,167.47,Due,50.77,121,167,True
C0569,2024-10-18,172.69,Paid,16.46,367,164,False
C0891,2024-11-15,67.84,Overdue,19.26,25,18,True
C0791,2024-07-07,128.64,Paid,24.02,114,41,True
C0035,2024-11-06,32.27,Overdue,94.7,157,131,True
C0953,2025-03-11,159.33,Paid,97.18,371,46,False
C0249,2025-01-04,71.5,Due,23.51,41,9,False
C0626,2024-12-11,101.56,Paid,35.24,221,116,False
C0714,2024-11-28,26.0,Due,51.12,8,160,True
C0614,2025-02-22,120.71,Overdue,85.57,403,163,False
C0497,2024-06-28,58.36,Paid,83.99,66,132,False
C0005,2025-03-25,152.69,Paid,36.58,81,167,True
C0623,2024-11-13,138.65,Overdue,76.64,148,16,False
C0087,2024-07-23,61.95,Overdue,91.66,95,127,False
C0896,2024-10-26,31.91,Due,86.22,75,36,False
C0729,2024-09-20,68.18,Paid,5.18,56,55,True
C0114,2024-11-09,132.85,Due,6.04,79,199,True
C0197,2025-01-29,102.87,Overdue,61.53,167,191,True
C0411,2024-07-17,98.05,Due,12.59,125,35,False
C0162,2025-01-04,117.28,Paid,19.81,407,29,True
C0215,2025-02-27,69.75,Due,98.69,173,31,False
C0561,2024-06-17,132.39,Due,79.84,390,112,False
C0057,2024-08-17,126.95,Due,44.18,56,47,False
C0895,2025-01-30,69.19,Due,88.65,175,141,True
C0710,2024-12-04,62.96,Overdue,92.52,444,106,True
C0403,2024-07-31,26.31,Overdue,4.12,285,84,False
C0494,2025-04-17,97.9,Overdue,40.1,19,57,True
C0862,2024-11-13,12.81,Due,9.08,277,104,False
C0372,2025-04-26,130.27,Paid,45.55,260,25,True
C0049,2024-08-03,25.54,Due,84.24,441,75,False
C0164,2024-10-07,119.31,Paid,1.7,394,100,False
C0908,2024-06-09,161.04,Due,21.05,187,45,True
C0742,2025-01-07,11.91,Paid,90.27,272,189,True
C0970,2024-11-27,130.07,Due,44.48,30,164,False
C0228,2025-05-01,137.47,Due,28.89,195,26,False
C0372,2024-08-08,198.71,Due,45.09,266,43,False
C0118,2024-09-08,142.78,Overdue,43.09,145,100,True
C0004,2024-09-04,103.27,Paid,93.33,133,64,False
C0990,2025-05-12,123.14,Due,93.14,451,131,False
C0613,2025-04-03,146.37,Paid,48.4,228,40,False
C0588,2025-02-22,54.83,Paid,44.67,438,64,True
C0870,2024-09-24,28.83,Due,19.02,117,25,False
C0203,2024-11-22,135.47,Overdue,44.35,97,185,False
C0324,2024-09-10,125.52,Overdue,96.64,163,111,True
C0003,2024-12-11,73.16,Due,95.99,46,166,False
C0376,2024-06-14,28.43,Overdue,10.07,11,30,True
C0728,2025-04-13,21.87,Overdue,27.09,23,126,False
C0585,2024-12-27,63.73,Due,95.9,148,1,False
C0060,2024-06-21,59.94,Overdue,91.23,116,148,False
C0997,2024-11-15,99.65,Due,72.33,111,77,False
C0902,2025-04-12,164.14,Due,58.64,122,29,False
C0523,2025-05-27,157.09,Paid,87.56,102,24,False
C0637,2024-07-03,163.39,Paid,25.54,162,69,True
C0307,2024-12-11,159.9,Paid,78.18,99,135,True
C0644,2024-09-14,98.47,Due,7.86,148,26,True
C0771,2024-09-14,39.28,Due,3.93,468,198,False
C0144,2025-01-14,71.0,Paid,67.32,408,194,False
C0940,2025-02-27,117.94,Overdue,20.11,441,23,False
C0346,2024-11-04,119.3,Due,45.03,78,98,True
C0237,2024-12-12,139.11,Due,21.72,49,75,False
C0760,2024-09-24,107.73,Overdue,83.03,284,12,True
C0876,2024-08-16,57.44,Paid,22.06,459,58,True
C0338,2024-09-24,83.74,Due,86.06,461,56,False
C0274,2024-08-02,139.64,Due,98.17,242,86,True
C0431,2024-08-29,18.49,Paid,78.29,97,68,False
C0104,2025-05-05,96.59,Due,37.1,63,89,False
C0395,2024-07-09,177.37,Paid,16.6,15,61,True
C0459,2024-09-07,102.24,Overdue,30.61,175,77,True
